Subject,Session,COND,Warn,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q
100,1,NT,NW,,,,,,,,,,,,,0.50,0.50,0.00,0.75,0.13,0.13,0.63,0.13,0.25,0.13,,,,,,,,,,,,,100,39,,84,0,75,58,20,93,,,,,,,,,,,,,,,,,12.5,65,100,100,12.5,77.5,100,100,15,52.5,80,100,,,,,0,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,,,,,,,,,,,,
101,2,NT,NW,,,,,,,,,,,,,0.50,0.38,0.13,0.50,0.25,0.25,0.75,0.13,0.13,-0.13,,,,,,,,,,,,,75,33,,88,75,50,61,100,100,,,,,,,,,,,,,,,,,25,50,75,100,50,50,100,100,27.5,75,100,100,,,,,0,0.5,1,0.5,0,0.5,0.5,1,1,0.5,1,0.5,,,,,,,,,,,,
102,3,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.38,0.50,0.13,0.63,0.13,0.25,0.13,,,,,,,,,,,,,82,50,,100,6,,90,0,75,,,,,,,,,,,,,,,,,25.5,87.5,100,100,0,12.5,100,,25,75,100,100,,,,,0.5,1,1,1,0,0,1,0.5,0.5,0.5,1,0.5,,,,,,,,,,,,
103,1,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,1.00,0.00,0.00,0.25,0.00,0.75,0.75,,,,,,,,,,,,,100,,,93,,,75,,100,,,,,,,,,,,,,,,,,100,100,100,100,70,100,100,100,75,100,100,100,,,,,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,
104,2,NT,NW,,,,,,,,,,,,,0.75,0.25,0.00,0.75,0.25,0.00,0.50,0.00,0.50,0.50,,,,,,,,,,,,,95,16,,58,95,,78,,25,,,,,,,,,,,,,,,,,16,85,100,100,14.5,55,99,100,0,25,80,100,,,,,0,1,1,1,1,0.5,1,0.5,0,0.5,1,0.5,,,,,,,,,,,,
105,3,NT,NW,,,,,,,,,,,,,0.75,0.25,0.00,0.50,0.50,0.00,0.75,0.00,0.25,0.25,,,,,,,,,,,,,79,50,,52,31,,75,,0,,,,,,,,,,,,,,,,,37.5,50,100,100,0,28.5,62.5,75,0,37.5,87.5,100,,,,,0.5,0.5,1,1,0,0.5,1,0.5,0,1,1,1,,,,,,,,,,,,
106,1,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,0.63,0.38,0.00,0.38,0.25,0.38,0.38,,,,,,,,,,,,,100,,,62,0,,100,50,83,,,,,,,,,,,,,,,,,100,100,100,100,0,0,55,100,25,100,100,100,,,,,1,1,1,1,0,0.5,1,1,0,0.5,0.5,0.5,,,,,,,,,,,,
107,2,NT,NW,,,,,,,,,,,,,0.63,0.38,0.00,0.38,0.50,0.13,0.38,0.13,0.50,0.38,,,,,,,,,,,,,72,47,,51,68,50,100,80,88,,,,,,,,,,,,,,,,,5.5,55,90,100,25.5,50,85,100,65,100,100,100,,,,,0.5,0.5,0.5,1,0.5,0,0,1,0,0.5,0.5,0.5,,,,,,,,,,,,
108,3,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,0.50,0.25,0.25,0.50,0.25,0.25,0.00,,,,,,,,,,,,,98,,,81,45,48,91,45,50,,,,,,,,,,,,,,,,,95,97.5,100,100,40,47.5,72.5,95,47.5,85,97.5,,,,,,1,1,1,1,0.5,0,0.5,1,0,1,1,0,,,,,,,,,,,,
109,1,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,0.88,0.00,0.13,0.63,0.13,0.25,0.13,,,,,,,,,,,,,100,,,93,,100,100,50,100,,,,,,,,,,,,,,,,,100,100,100,100,75,100,100,100,75,100,100,100,,,,,1,1,1,1,1,1,1,0.5,0,1,0.5,1,,,,,,,,,,,,
110,2,NT,NW,,,,,,,,,,,,,0.63,0.38,0.00,0.63,0.38,0.00,0.38,0.00,0.63,0.63,,,,,,,,,,,,,100,25,,82,20,,50,,92,,,,,,,,,,,,,,,,,12.5,75,100,100,5,50,80,100,35,95,100,100,,,,,0,0.5,1,1,0,0.5,1,1,0.5,0,0,1,,,,,,,,,,,,
112,1,NT,NW,,,,,,,,,,,,,0.63,0.38,0.00,0.38,0.50,0.13,0.88,0.13,0.00,-0.13,,,,,,,,,,,,,74,93,,100,58,80,84,70,,,,,,,,,,,,,,,,,,50,75,100,100,40,75,90,100,50,85,95,100,,,,,1,0.5,0.5,0.5,0,0,0.5,1,0.5,1,1,1,,,,,,,,,,,,
114,3,NT,NW,,,,,,,,,,,,,0.88,0.00,0.13,1.00,0.00,0.00,0.75,0.13,0.13,0.13,,,,,,,,,,,,,92,,90,58,,,93,25,25,,,,,,,,,,,,,,,,,70,100,100,100,0,37.5,92.5,100,25,80,100,100,,,,,0.5,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
116,2,NT,NW,,,,,,,,,,,,,0.75,0.13,0.13,0.75,0.13,0.13,0.50,0.25,0.25,0.13,,,,,,,,,,,,,87,20,3,73,50,0,87,35,78,,,,,,,,,,,,,,,,,11.5,62.5,99.5,100,0.5,55,87.5,100,35,62.5,89.5,100,,,,,0,1,1,1,0.5,0.5,1,1,0,0.5,0.5,1,,,,,,,,,,,,
117,3,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,0.38,0.38,0.25,0.50,0.00,0.50,0.25,,,,,,,,,,,,,79,,,57,47,38,76,,52,,,,,,,,,,,,,,,,,47.5,85,90,95,22.5,40,55,75,27.5,67.5,90,90,,,,,1,1,1,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
118,1,NT,NW,,,,,,,,,,,,,0.50,0.38,0.13,0.88,0.13,0.00,0.25,0.25,0.50,0.50,,,,,,,,,,,,,80,60,90,74,100,,70,85,78,,,,,,,,,,,,,,,,,30,70,95,100,28.5,80,100,100,45,80,85,100,,,,,0.5,0,0.5,1,1,0.5,1,1,0.5,0.5,0,0,,,,,,,,,,,,
119,2,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.75,0.13,0.13,0.63,0.13,0.25,0.13,,,,,,,,,,,,,82,100,,69,75,0,99,5,100,,,,,,,,,,,,,,,,,37.5,100,100,100,5,50,90,100,50,100,100,100,,,,,1,1,1,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,,,,,,,,,,,,
120,3,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,0.50,0.25,0.25,0.38,0.13,0.50,0.25,,,,,,,,,,,,,79,,,88,30,70,73,100,100,,,,,,,,,,,,,,,,,37.5,80,100,100,25,55,95,100,60,100,100,100,,,,,1,1,1,1,0,0.5,0.5,1,1,0.5,0,0,,,,,,,,,,,,
121,1,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.88,0.00,0.13,0.38,0.13,0.50,0.38,,,,,,,,,,,,,96,70,,96,,100,63,0,47,,,,,,,,,,,,,,,,,82.5,95,95,100,87.5,100,100,100,0,4.5,87.5,97.5,,,,,0.5,1,1,1,1,0.5,1,1,0.5,0,0.5,0.5,,,,,,,,,,,,
122,2,NT,NW,,,,,,,,,,,,,0.88,0.00,0.13,0.38,0.50,0.13,0.75,0.00,0.25,0.13,,,,,,,,,,,,,89,,100,100,85,9,99,,88,,,,,,,,,,,,,,,,,65,95,100,100,29.5,95,100,100,87.5,97.5,100,100,,,,,1,1,1,0.5,0,0,1,0.5,0.5,0.5,1,1,,,,,,,,,,,,
123,3,NT,NW,,,,,,,,,,,,,0.88,0.00,0.13,0.63,0.13,0.25,0.25,0.13,0.63,0.38,,,,,,,,,,,,,88,,0,32,78,60,23,,97,,,,,,,,,,,,,,,,,30,90,100,,3.5,30,70,74.5,22.5,94.5,100,,,,,,0.5,1,1,1,1,0.5,0.5,0.5,1,0,0,0,,,,,,,,,,,,
124,1,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,0.50,0.25,0.25,0.38,0.00,0.63,0.38,,,,,,,,,,,,,86,,,80,25,30,40,,70,,,,,,,,,,,,,,,,,50,94.5,100,100,15,55,80,100,20,50,80,85,,,,,1,1,1,1,0,0.5,1,0.5,1,0,0.5,0,,,,,,,,,,,,
125,2,NT,NW,,,,,,,,,,,,,0.63,0.38,0.00,0.63,0.38,0.00,0.63,0.25,0.13,0.13,,,,,,,,,,,,,86,30,,98,85,,77,35,100,,,,,,,,,,,,,,,,,15,55,90,100,77.5,94,100,100,15,62.5,100,100,,,,,0,0.5,1,1,0,0.5,1,1,0.5,0.5,1,0.5,,,,,,,,,,,,
126,3,NT,NW,,,,,,,,,,,,,0.63,0.25,0.13,0.75,0.25,0.00,0.38,0.00,0.63,0.63,,,,,,,,,,,,,96,38,0,37,5,,75,,80,,,,,,,,,,,,,,,,,12.5,65,100,100,0,7.5,32.5,75,32.5,80,100,100,,,,,0,0.5,1,1,0.5,0.5,1,1,0.5,0,0.5,0.5,,,,,,,,,,,,
127,1,NT,NW,,,,,,,,,,,,,0.63,0.25,0.13,0.63,0.38,0.00,0.50,0.38,0.13,0.13,,,,,,,,,,,,,88,30,80,80,63,,50,23,75,,,,,,,,,,,,,,,,,25,70,95,100,25.5,87.5,100,100,0,5.5,67.5,100,,,,,0.5,0,1,1,0.5,0.5,1,0.5,0.5,0.5,0,1,,,,,,,,,,,,
129,3,NT,NW,,,,,,,,,,,,,0.75,0.25,0.00,0.63,0.25,0.13,0.63,0.25,0.13,0.00,,,,,,,,,,,,,92,55,,79,48,10,90,50,50,,,,,,,,,,,,,,,,,30,100,100,100,15,47.5,87.5,100,50,50,100,100,,,,,0.5,1,0.5,1,0.5,0.5,0.5,1,0,0.5,1,1,,,,,,,,,,,,
130,1,NT,NW,,,,,,,,,,,,,0.63,0.13,0.25,0.63,0.25,0.13,0.25,0.38,0.38,0.25,,,,,,,,,,,,,82,70,3,77,25,51,60,67,24,,,,,,,,,,,,,,,,,3,61,79,100,13.5,40.5,90,100,20,41.5,55.5,100,,,,,0,0.5,1,1,0.5,0,1,1,0,0,0.5,0.5,,,,,,,,,,,,
131,2,NT,NW,,,,,,,,,,,,,0.75,0.13,0.13,0.38,0.63,0.00,0.63,0.13,0.25,0.25,,,,,,,,,,,,,100,80,100,100,56,,95,0,100,,,,,,,,,,,,,,,,,90,100,100,100,0,90,100,100,40,100,100,100,,,,,0.5,1,0.5,1,0,0.5,0,1,0.5,0.5,0.5,1,,,,,,,,,,,,
132,3,NT,NW,,,,,,,,,,,,,0.75,0.13,0.13,0.63,0.13,0.25,0.50,0.13,0.38,0.13,,,,,,,,,,,,,68,100,0,40,0,10,90,60,73,,,,,,,,,,,,,,,,,0,55,100,100,0,5,15,90,60,70,90,100,,,,,0.5,1,0.5,1,0.5,0.5,0.5,1,0,0.5,0.5,1,,,,,,,,,,,,
300,1,T,NW,0.50,0.00,0.50,0.00,0.75,0.00,0.25,0.00,0.63,0.00,0.38,0.00,1.00,0.00,0.00,0.75,0.25,0.00,0.25,0.13,0.63,0.63,80,,55,,83,,3,,58,,0,,90,,,83,65,,45,0,84,22.0,49.3,80.0,96.0,60.0,70.0,90.0,90.0,6.0,70.0,80.0,99.0,0.0,8.0,70.0,99.0,80,90,90,100,60,75,85,94.5,0,75,90,90,0.00,0.67,1.00,0.83,1,1,1,1,0.5,0.5,1,1,0.5,0,0,0.5,1,1,1,1,0,1,1,1,0,0,0.5,0.5
301,2,T,NW,0.38,0.50,0.13,0.00,0.50,0.50,0.00,0.00,0.25,0.50,0.13,0.13,1.00,0.00,0.00,0.50,0.38,0.13,0.25,0.13,0.63,0.50,97,0,50,,88,,,,100,,99,65,100,,,75,93,100,100,80,96,82.7,100.0,,,50.0,100.0,,,99.0,,,,99.0,100.0,,,100,100,100,100,40,100,100,100,80,100,100,100,0.33,1.00,0.17,0.00,1,1,1,1,0.5,1,0,0.5,0,0.5,0.5,0,1,1,1,1,1,0.5,0.5,0,0,1,0,0
302,3,T,NW,0.13,0.13,0.63,0.13,0.38,0.00,0.50,0.13,0.38,0.00,0.63,0.00,1.00,0.00,0.00,0.50,0.38,0.13,0.00,0.13,0.88,0.75,100,,67,40,100,,63,50,93,,57,,88,,,75,40,50,,0,77,44.3,84.0,100.0,100.0,78.0,100.0,,,50.0,72.0,100.0,100.0,5.0,80.0,100.0,100.0,50.5,100,100,100,0.5,35,100,100,10,70,100,100,0.00,0.33,0.50,0.33,1,1,1,1,0.5,0,1,0.5,0,0,0,0,1,1,1,1,0,0.5,0.5,1,0,0,0,0
304,2,T,NW,0.38,0.25,0.38,0.00,0.50,0.13,0.38,0.00,0.13,0.13,0.75,0.00,0.88,0.00,0.13,0.63,0.25,0.13,0.38,0.25,0.38,0.25,87,0,47,,97,,70,,80,0,68,,96,,60,100,70,40,87,80,100,43.3,68.3,86.7,100.0,0.0,40.0,80.0,100.0,90.0,100.0,100.0,,40.0,65.0,80.0,,67.5,100,100,100,40,100,100,100,60,100,100,100,0.17,0.33,0.33,0.50,0.5,1,1,1,0,0.5,1,1,0.5,0.5,0.5,0,1,0.5,1,1,1,1,0,0.5,0,0.5,0.5,0.5
305,3,T,NW,0.50,0.00,0.50,0.00,0.50,0.13,0.38,0.00,0.38,0.13,0.50,0.00,0.88,0.13,0.00,0.38,0.50,0.13,0.13,0.13,0.75,0.63,60,,35,,63,0,33,,83,100,23,,83,0,,83,15,0,100,0,83,6.7,43.3,70.0,100.0,20.0,30.0,60.0,100.0,0.0,50.0,50.0,100.0,0.0,50.0,100.0,100.0,25,75,100,100,0,5,50,100,0,100,100,100,0.33,0.33,0.33,0.83,0.5,1,1,1,0,0,0.5,1,0,0,0,0.5,0.5,1,1,1,0,0,0.5,1,0,0,0,0.5
306,1,T,NW,0.63,0.00,0.38,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.38,0.13,0.88,0.13,0.00,0.63,0.25,0.13,0.13,0.00,0.88,0.75,90,,60,,86,,24,,89,,45,60,100,100,,74,50,0,5,,97,33.3,75.0,95.0,100.0,50.0,100.0,100.0,100.0,0.0,50.0,95.0,100.0,50.0,75.0,90.0,100.0,100,100,100,100,0,35,100,100,47.5,95,100,100,0.17,0.50,0.67,0.83,1,1,1,0.5,0,1,1,0.5,0.5,0,0,0,1,1,1,0.5,0,1,0.5,1,0.5,0,0,0
307,2,T,NW,0.13,0.00,0.63,0.25,0.13,0.00,0.88,0.00,0.13,0.00,0.88,0.00,0.50,0.38,0.13,0.38,0.63,0.00,0.50,0.38,0.13,0.13,6,,3,1,8,,2,,3,,2,,100,33,5,100,35,,36,33,100,0.3,1.3,4.3,7.0,1.0,2.0,3.0,8.0,0.0,2.0,5.0,,0.0,0.0,5.0,6.0,0,52.5,100,100,2.5,100,100,,0,3.5,100,100,0.00,0.00,0.17,0.33,0,0.5,0.5,1,0,0.5,1,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,0.5,0.5,0.5,0.5,0.5
308,3,T,NW,0.75,0.00,0.25,0.00,0.50,0.00,0.38,0.13,0.63,0.00,0.38,0.00,1.00,0.00,0.00,0.63,0.25,0.13,0.50,0.13,0.38,0.25,100,,55,,100,,17,0,95,,42,,97,,,84,40,75,100,40,80,50.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,50.0,100.0,100.0,50.0,75.0,100.0,100.0,87.5,100,100,100,30,57.5,100,100,45,95,100,100,0.17,0.50,1.00,0.83,1,1,1,1,0.5,0,1,1,0,0.5,1,0.5,1,1,1,1,0.5,0,1,1,0,0,1,1
309,1,T,NW,0.63,0.00,0.38,0.00,0.88,0.00,0.00,0.13,0.25,0.00,0.50,0.25,1.00,0.00,0.00,0.88,0.13,0.00,0.13,0.00,0.88,0.88,95,,83,,86,,,0,63,,13,25,100,,,86,50,,50,,100,42.0,66.7,75.0,100.0,75.0,100.0,100.0,100.0,50.0,75.0,100.0,100.0,1.0,25.0,25.0,100.0,100,100,100,100,50,75,100,100,75,100,100,100,0.33,0.83,0.50,0.67,1,1,1,1,0.5,1,1,1,0.5,0,0,0,1,1,1,1,0.5,1,1,1,0.5,0,0,0
310,2,T,NW,0.38,0.13,0.50,0.00,0.25,0.38,0.38,0.00,0.38,0.25,0.38,0.00,0.88,0.13,0.00,0.50,0.25,0.25,0.50,0.00,0.50,0.25,53,0,20,,95,0,57,,67,0,40,,81,60,,80,20,40,83,,100,0.0,33.3,56.7,100.0,0.0,20.0,40.0,100.0,0.0,50.0,70.0,100.0,0.0,30.0,60.0,100.0,55,60,100,100,5,25,90,100,65,100,100,100,0.00,0.33,0.17,0.83,1,0.5,1,1,0,0.5,0.5,1,1,0.5,0,0.5,0.5,1,1,1,0.5,0,0.5,1,0.5,0,0.5,1
311,3,T,NW,0.63,0.00,0.38,0.00,0.25,0.25,0.38,0.13,0.50,0.00,0.50,0.00,1.00,0.00,0.00,0.63,0.25,0.13,0.63,0.25,0.13,0.00,67,,17,,100,0,20,100,93,,34,,71,,,58,0,50,100,75,20,3.3,36.7,96.7,100.0,0.0,30.0,90.0,100.0,0.0,10.0,100.0,100.0,10.0,70.0,100.0,100.0,22.5,60,100,100,0,45,75,100,35,100,100,100,0.17,0.33,0.67,0.67,1,1,1,1,0.5,0.5,1,0.5,0,0.5,1,1,1,1,1,1,0,1,1,0.5,0,1,1,0.5
312,1,T,NW,0.50,0.00,0.50,0.00,0.50,0.00,0.25,0.25,0.63,0.13,0.25,0.00,0.88,0.13,0.00,0.63,0.00,0.38,0.63,0.00,0.38,0.00,7,,2,,8,,0,3,3,0,0,,9,0,,7,,4,3,,8,0.0,2.7,5.7,8.7,0.0,3.0,7.0,9.0,0.0,5.0,8.0,9.0,0.0,0.0,2.0,8.0,3,9,9,9,1,5.5,9,9,1,3.5,6,8.5,0.17,0.33,0.67,1.00,0.5,1,1,1,0.5,0.5,1,0.5,1,1,0.5,0,1,1,0.5,1,0,0.5,1,1,1,0.5,0.5,0.5
313,2,T,NW,0.25,0.00,0.75,0.00,0.50,0.00,0.50,0.00,0.50,0.13,0.38,0.00,1.00,0.00,0.00,0.75,0.25,0.00,0.50,0.13,0.38,0.38,20,,15,,58,,0,,78,0,3,,80,,,71,20,,48,80,100,0.0,6.0,48.3,90.0,0.0,0.0,10.0,80.0,0.0,8.0,75.0,,0.0,10.0,60.0,100.0,40,80,100,100,10,32.5,90,100,16.5,70,100,100,0.17,0.17,0.67,0.67,1,1,1,1,0.5,0.5,1,1,1,0.5,0.5,0,1,1,1,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5
